id,title,category,desc,manu,price
http://www.google.com/base/feeds/snippets/11125907881740407428,learning quickbooks 2007,3,learning quickbooks 2007,intuit,38.99
http://www.google.com/base/feeds/snippets/11538923464407758599,superstart fun reading writing,3,fun reading writing designed kids learn read write exercises puzzle-solving creative writing decoding,nan,8.49
http://www.google.com/base/feeds/snippets/11343515411965421256,qb pos 6.0 basic software,3,qb pos 6.0 basic retail mngmt software retailers basic inventory sales customer tracking,intuit,637.99
http://www.google.com/base/feeds/snippets/12049235575237146821,math missions amazing arcade adventure grades 3-5,0,save spectacle city disrupting randall underling's plan drive stores business city solve real-world math challenges uniquely entertaining stores make theme successful,nan,12.95
http://www.google.com/base/feeds/snippets/12244614697089679523,production prem cs3 mac upgrad,3,adobe cs3 production premium mac upgrade production studio premium standard,adobe software,805.99
http://www.google.com/base/feeds/snippets/12311932123270766595,video studio 11,3,corel video studio 11 consumer video editing dvd authoring software lets video,corel corporation,103.99
http://www.google.com/base/feeds/snippets/13364214809208487698,edius pro,3,working standard definition high definition video grass valley edius pro nle software frees limitations conventional editing systems edius pro software upgraded edius broadcast time,canopus/grass valley,585.99
http://www.google.com/base/feeds/snippets/12835181529749808477,qb pos 6.0 pro multi store sw,3,qb pos 6.0 pro multistore retail mngmt software features basic ability manage ten stores single office,intuit,1054.99
http://www.google.com/base/feeds/snippets/12949835105262366018,qb credit card kit 3.0,3,quickbooks credit card kit v3.0 2007,intuit,25.99
http://www.google.com/base/feeds/snippets/12991998923940483779,vegas movie studiodvd+8 plat,3,sony media software vegas movie studio dvd platinum edition video editing dvd creation software vegas movie studio platinum edition software power features advanced tools edit video format,sony creative software,92.99
http://www.google.com/base/feeds/snippets/13394537834910060641,qb pos 6.0 pro solution hw/sw,3,qb pos 6.0 pro solution hw/sw ships unprinted corrugated shipper,intuit,1474.99
http://www.google.com/base/feeds/snippets/13665841494141374823,ares rising,0,decide fate galaxy space combat simulation game combines action space combat strategic planning gripping plot,nan,29.95
http://www.google.com/base/feeds/snippets/10563522754094993865,evergirl pc cd-rom video game,0,based tween lifestyle brand launched 2004 action/adventure game loads adventures tailored specifically player's personality type evergirl brand features clothing accessories line companion web,nan,14.99
http://www.google.com/base/feeds/snippets/13499020603250895672,cd384-aisk9= cisco ios advanced ip services complete package cd,3,cisco systems cd384-aisk9= ships 24 hours stock cisco ios internetworking operating system software platform delivers network services enables networked applications,nan,2068.26
http://www.google.com/base/feeds/snippets/13506048545083752063,633808063023 wasp bar code fontware complete package 10 users cd win english,3,wasp bar code 633808063023 ships 24 hours stock wasp fontware powerful bar code utility seamlessly integrates truetype fonts favorite business software database applications,nan,154.6
http://www.google.com/base/feeds/snippets/13506662111309274857,0202-034 axis camera station license additional user,3,axis communications 0202-034 ships 24 hours stock axis camera station ip-surveillance software works axis network cameras video servers provide video monitoring recording event management functions,nan,95.12
http://www.google.com/base/feeds/snippets/13509582144618483313,eu063av aba microsoft windows xp professional license media user cto english,3,hp eu063av aba ships 24 hours microsoft windows xp professional version windows operating system designed businesses sizes individuals demand computing,nan,137.09
http://www.google.com/base/feeds/snippets/13490501694625983754,bb0gyna ibm informix dynamic server enterprise edition 9.4 media cd linux,3,ibm bb0gyna ships 24 hours ibm informix dynamic server ids delivers superior reliability meeting today's demanding e-business practices applications requiring high-performance transactions,nan,195.53
http://www.google.com/base/feeds/snippets/13495800857575425103,eqzfn07-201 zetafax business edition license users win,3,equisys eqzfn07-201 ships 24 hours stock zetafax business edition equisys entry-level network fax software 25 network users,nan,499.17
http://www.google.com/base/feeds/snippets/13498255156520573167,633808390266 wasp mobileasset professional edition combo pack spt 1800 comp,18,wasp bar code 633808390266 ships 24 hours stock wasp mobileasset selling industry-leading asset tracking solution small medium-sized businesses,nan,2021.99
http://www.google.com/base/feeds/snippets/13498594914201055159,wg017449 watchguard firebox x5500e utm software suite subscription license year,3,watchguard technologies wg017449 ships 24 hours turn firebox x5500e comprehensive unified threat management utm solution class utm software suite watchguard,nan,3715.48
http://www.google.com/base/feeds/snippets/13680933987356137404,11k2990 international printing mysap.com complete package client cd englis,7,lexmark international 11k2990 ships 24 hours international printing mysap,nan,149.43
http://www.google.com/base/feeds/snippets/13719401226624644329,5325302018 snap enterprise data replicator license server linux unix win,3,adaptec 5325302018 ships 24 hours snap edr high-performance network-optimized software solution distributing protecting reporting business-critical information distributed enterprises,nan,663.22
http://www.google.com/base/feeds/snippets/13756542466722287702,38039440dm adobe flash cs3 professional media tlp tlp nonprofit dvd win,3,adobe systems 38039440dm ships 24 hours adobe flash cs3 professional software advanced authoring environment creating rich interactive content digital web mobile platforms,nan,18.88
http://www.google.com/base/feeds/snippets/13523914615628879714,11105106 symantec bindview policy manager 1.0 media cd win english,3,symantec 11105106 ships 24 hours symantec bindview policy manager reduces increasing cost compliance multiple regulations providing automated policy management defines disseminates policy,nan,16.09
http://www.google.com/base/feeds/snippets/13515827501684146744,25510587 adobe effects cs3 professional complete package user dvd win,3,adobe systems 25510587 ships 24 hours bring vision life blockbuster visual effects compelling motion graphics,nan,1054.23
